genetree,Constrained_AU,absolute_delta,relative_AB,ABlength,splitscore,ABsplit,MAD_r2t
p0190,0.351,54.846,1.08371888522299,2.1184E-06,20.3,6.8,1.61340280084095
p0191,0.0248,271,4.25687280756475,2.4135E-06,21.6,3.1,2.13365346147026
p0192,9.36E-09,652.76,1.45199946186189,0.0097922831,33.3,10.9,1.54019021060067
p0193,0.000835,594.9,1.32870535040995,2.5422E-06,38.2,7.6,1.74029172074831
p0195,0.000143,628.52,1.74648592534589,0.0013529737,33.2,6.2,1.7543325917065
p0196,2.57E-06,610.22,1.92741030232669,0.0627401377,40.6,5.6,2.74609042437507
p0197,4.33E-26,1173.7,2.04009860514592,2.0494E-06,56.2,13,2.05176912046316
p0198,0.0047,284.06,1.47714086683915,2.8082E-06,30.6,10.2,1.40463395860585
p0199,1.82E-35,1086.7,1.1462172668451,2.7865E-06,42.7,8.2,1.13833487699632
p0201,1.53E-86,1562.8,1.3875169505648,2.2002E-06,36.1,9.9,1.99995805899156
p0202,0.00596,346.81,4.76189725101237,0.0003861367,25.4,4.9,2.89250438491276
p0203,2.43E-48,3574,1.15632843329515,2.7898E-06,42.4,13.6,1.824797766637
p0205,0.000385,429.35,1.1366208170079,2.5014E-06,33.9,5.5,7.31010573162182
p0207,0.00118,448.67,2.18539804506885,2.2186E-06,36.3,4.1,1.80139073318421
p0208,8.20999999999999E-137,518.18,1.15145575586781,0.0176408052,39.7,12.4,1.46438951568028
p0209,0.012,379.48,1.09785722182575,2.9002E-06,28.1,10.2,1.63108469591134
p0210,0.000245,684.54,2.71362670072393,0.0047674563,28,6.6,6.52013545505282
p0211,1.01E-05,1266.9,1.23434973409911,2.9436E-06,45.1,9.6,2.48613636685754
p0214,2.72E-62,365.32,1.16333169503541,2.5364E-06,34.7,6.8,1.31481650696163
p0215,9.16E-10,1096.1,1.76422147522816,2.7904E-06,42.2,10.7,1.50884285670102
p0216,2.03E-51,907.58,1.72741912286069,2.4582E-06,33,8.3,1.74521548165745
p0217,1.24E-74,1038.5,1.23240710780623,0.0197998803,31.8,10.9,1.54472460241202
p0219,2.36E-10,1179.2,1.10154542590327,2.3387E-06,50.9,9.4,1.91135967224188
p0220,6.74E-73,3273.6,1.1833732971198,2.2643E-06,40.6,11.1,3.18304853997435
p0221,0.000326,393.74,1.29294585796826,2.4957E-06,29.7,8.2,1.2572433785125
p0222,2.09E-23,1012.4,1.15338507135592,2.7052E-06,41.7,12.6,1.76749234345868
p0223,1.63E-38,942.94,2.8477537884021,2.9814E-06,32.5,9.3,7.31250362940707
p0224,1.14E-05,644.3,1.09265450099996,2.2843E-06,25.5,9.9,1.97914141524543
p0225,0.00053,1057.9,1.14097773513737,0.0098696671,31.3,7.8,2.04158385029162
p0226,3.28E-46,1551.6,1.37378801712812,2.2333E-06,53.9,8.9,1.94337649099283
p0227,1.26E-54,1637.3,1.15107398984244,2.0363E-06,67.2,10.6,1.67330388079132
p0228,0.000267,2154.7,1.07070550861791,0.0021624723,64.3,18,2.67174990949986
p0229,0.605,23.827,1.61180978605884,2.5757E-06,28.9,6.8,1.19255256911955
p0231,8.51999999999999E-71,792.08,1.21105957411793,0.0123732713,36.1,9.9,2.19857803826075
p0233,0.000628,323.34,1.49731808587886,2.2665E-06,29.3,5.2,2.08736181269906
p0234,2.3E-31,5007.2,1.21643524727887,2.6263E-06,44.9,13.4,2.77566847975691
p0235,0.00116,3293.1,1.07580922049373,2.3068E-06,52,17.1,1.7975403515042
p0236,0.266,84.606,1.42950101933248,0.0116538033,24.2,5.9,1.042295558484
p0237,4.76E-09,930.65,1.2393111590788,0.0345586411,43.8,8.4,6.34481169155378
p0239,0.000166,501.82,1.12645471214198,2.3787E-06,29.2,6.5,1.77966291257
p0241,0.0911,124.27,1.28981131993337,0.0070002944,29.7,6.1,1.68377941027044
p0242,0.0923,137.63,5.36922360916928,0.9641760902,13.6,3.6,1.92266559438441
p0243,8.55999999999999E-81,898.01,1.48930520673638,2.6359E-06,23.7,5.1,2.20075927851048
p0244,1.11E-33,2281.1,1.26110761445977,2.2436E-06,54.6,14.3,2.2206667853681
p0246,0.0008,917.95,1.22498213854238,2.3711E-06,42.1,10.2,1.38365387523455
p0247,0.0332,190.06,1.08314067687501,0.065754433,34.8,7.6,8.37165787633107
p0248,4.46E-07,505.21,2.20591835708904,2.0298E-06,28.7,9.4,2.08585063172398
p0249,0.021,190.18,1.09021469210184,0.0100213184,25.8,7.2,1.4795396934584
p0250,2.21E-66,906.79,1.16862388617218,2.2679E-06,33.2,8.1,4.38528731691178
p0252,3.03E-55,613.67,1.03525167849199,2.9165E-06,22.8,7.2,1.93180974543158
p0255,9.75E-08,1161.2,1.21943395053126,0.0248924995,35.3,8,5.85168182052308
p0256,0.000422,426.64,1.14494479271485,0.0100290741,44.4,12.9,0.955126174005731
p0259,6.87E-05,435.51,1.31107673375926,0.0099190795,48.7,10.4,1.71665352827958
p0260,0.000123,626.27,1.72175747427011,2.0863E-06,36,7.1,1.38605588195396
p0261,6.58E-65,681.43,1.6107756476562,0.0075106319,43.7,8.6,6.32094888063034
p0262,2.1E-55,996.78,1.34620223047403,2.1008E-06,38.6,8.6,3.12034064043527
p0263,1.82E-44,1640.5,1.32209361577167,0.0051435234,36.7,11.5,2.20238390826767
p0265,3.83E-58,1431.2,1.0627593215473,0.0036683551,45.8,11.7,7.70010409588702
p0267,2.21E-06,641.73,1.17312923465492,2.1459E-06,36.1,9.9,1.79824854419084
p0268,0.0886,166.66,1.95646007797534,2.6837E-06,27.5,5.9,2.05036195202453
p0269,7.12999999999999E-72,944.13,1.5332306026731,2.6621E-06,34.2,13,1.97602018940765
p0270,5.66999999999999E-121,1768.9,1.26488149053436,2.7565E-06,51,16,2.11023357476072
p0271,1.69E-14,543.92,1.24248807383242,0.0136748005,31,6.6,1.63585879702558
p0272,0.00837,223.57,3.52403572680467,2.3224E-06,33.8,6.9,2.49917201272201
p0273,2.12E-05,405,1.65433330468203,0.1289569745,34.1,6.5,2.80858687951703
p0274,0.396,15.656,1.07149568438347,2.5614E-06,32.2,5,1.44817107490284
p0277,1.51E-64,768.4,1.05688814605024,2.4264E-06,56.9,11.4,2.34046902625013
p0278,2.56E-51,1593,1.13497536459843,2.3704E-06,40,8.9,2.84685207570098
p0279,0.00326,337.14,2.09009082852402,2.0136E-06,31.8,2.4,2.35018036319836
p0280,0.00403,330.08,1.29358234565913,2.6887E-06,26.3,4.3,2.33642579629365
p0283,0.00607,448.24,2.19581048696222,0.0384958843,31.3,7.9,2.27037440567421
